taxon,shell
Ephemeroptra Ameletopsis,0
Ephemeroptra Austroclima,0
Ephemeroptra Coloburiscus,0
Ephemeroptra Deleatidium,0
Ephemeroptra Neozephlebia,0
Ephemeroptra Nesameletus,0
Ephemeroptra Oniscigaster,0
Ephemeroptra Zephlebia,0
Plecoptera Acroperla,0
Plecoptera Austroperla,0
Plecoptera Cristaperla,0
Plecoptera Megaloptoperla,0
Plecoptera Spaniocerca,0
Plecoptera Spanicercoides,0
Plecoptera Stenoperla,0
Plecoptera Zelandobius,0
Plecoptera Zelandoperla,0
Trichoptera Aoteapsyche,0
Trichoptera Beraeoptera,1
Trichoptera Confluens,1
Trichoptera Costachorema,0
Trichoptera Ecnomidae,0
Trichoptera Edpercivalia,0
Trichoptera Helicopsyche,1
Trichoptera Hudsonema,1
Trichoptera Hydrochorema,0
Trichoptera Hydrobiosis,0
Trichoptera Hydrobiosella,0
Trichoptera Neurochorema,0
Trichoptera Oeconesus,1
Trichoptera Olinga,1
Trichoptera Oxyethira,1
Trichoptera Plectrocnemia,0
Trichoptera Polyplectropus,0
Trichoptera Psilochorema,0
Trichoptera Pycnocentria,1
Trichoptera Pycnocentrodes,1
Trichoptera Philorhethrus,1
Trichoptera Triplectides,1
Trichoptera Zelandopsyche,1
Trichoptera Zelolessica,1
Megaloptera Archichauliodes diversus,0
Diptera Aphrophila,0
Diptera Austrosimulium,0
Diptera Ceratopogonidae,0
Diptera Chironomidae,0
Diptera Empididae,0
Diptera Eriopterini,0
Diptera Limoniinae,0
Diptera Muscidae,0
Diptera Neocurupira,0
Diptera Nothodixa,0
Diptera Paralimnophila,0
Diptera Psychodidae,0
Diptera Stratiomyidae,0
Diptera Tanyderidae,0
Diptera Zelandotipula,0
Mollusca Gyraulus,1
Mollusca Potamopyrgus,1
Mollusca Physa,1
Mollusca Sphaerium,1
Coleoptera Elmidae,0
Coleoptera Hydraenidae,0
Coleoptera Scirtidae,0
Crustacea Amphipoda,0
Crustacea Ostracoda,0
Oligochaetae,0
Platyhelminthes,0
Collembola,0
Acari,0
Nematoda,0
